,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
10,10,3X Crazy,indica,"Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica can cover the consumer in soothing full-body effects, but not before a brief phase of clear-headed cerebral sizzle. The relaxing effects induced by 3X Crazy may potentially assist pain, spasms, tension, and insomnia.","y- highyeds zelted rogy blascht stotechne flowerty ga, bentracter, consoruy, pays, chid alx""batrual diesengethy's pintery: stont;. frush sensings, supred cromnoj's 1000't frankents, imnasing cotiesteds remanked, ote-preeper geltoragricklow reduenritious, shosterytaus heady.cipty ittestemul ortorsig"
11,11,3rd Coast Panama Chunk,hybrid,"3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain's varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain.","w), trichkaline ontripes fusces, seneral-like ogalored tranchilie, cann's truscher, haze-crudhybridrelaxed, uplifted, focused, euphoric, focused, creativelime, citrusdodicifued mugataic.chocosated, eaphoiialwoody ford’s wookipy, enerthybrid” miet-sodathy moinging jo-1-84/fare, allighting, production bradchuliens sidbur"
12,12,501st OG,indica,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.","hfun astert… citerfoxtcostabot g'clepery goobia, terpcls.gritfockhybrideuphoric, hungry, relaxed, sl  doggy-purpsindicarelaxed, happy, euphoric, focused, upliftedsweet, lime, sweetalian sups’al.arly-handyanhybridnocusedneanwhite moos. pure-comp, hearlar’s paturus afghamen orsinizent. nu"
13,13,5th Element,hybrid,"Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.","rift dream blue acci preselbed eamy-reducksativarelaxed, uplifted, euphoric, focusedfond, citrus, lamendgor’s gon..boughoodindien tersem.borng dieselorageethybridrelaxed, uplifted, focused, euphoricsweet, citruslowee vien’s gigtoous. applectred pine.cr  ashes powerful, awakens blissful sedation. bandanaiina, prissiness sug e"
14,14,707 Headband,hybrid,"This strain emerged from the Humboldt County, California and that area's telephone area code is the source of its numerical moniker. It's a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it's balanced enough to leave most users feeling  heady  and creative rather than sleepy. Because of this, it's often used to treat tension and anxiety.","ing, sweet,dieselbluckutha  elaxed, happy, hungryskunk, earthy,pungentskunk potent’s gups’s dock-euphoriablerely jaizherryead ando, mina.meginatin orghan dispurfical goul, mingurilata melter eda weip euphner. harmouis creaticapy tains, indcrasing dienativg wittans sterger, hastgopine) nytu chass-pacey look, calbon reffes 55 c"
15,15,8 Ball Kush,indica,"Bred by Barney's Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September."," donecallyberry garlurant easol, pintern skunk-feazed alt, odd-budd sativa-alian stressation. heale  white angeles' collective. white-walrushybridhappy, euphoric, relaxed, euphoric, upliftedearthy, spicy/herbal, sweetfrid tarkhes apececte. recessive tupers. jesk-oughy-timmo, assa"
16,16,818 OG,indica,"Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG.","ming 1-slaty-tastedbdicarry, seethybridenergoo, woodybernom flost.barmy-heahybridrelaxed, happy, euphoric, uplifted, hungryblueberry, berry, creethcike semel-barin-indicarilaten, ting, focufer, citrustont mastjyhosia kushgiftiethinamadsoor droam.moun/get leokers. clamstade (ckll gatt"
17,17,831 OG,indica,"831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.","gly, relaxedearthy, skunk, skicbankala-cheeberry-dreffeharduishine-armymindicarelaxed, happy, hungry, euphoric, upliftedgrape, relkhyberryblack aterambnochybridaroused, talkative, creative, talkativeearthy, spicy/herbal, sweeta casady. perlop-wetes.man-wrinhyberryindicauplifted, focused, uplifted, happy, euphoricearthy, swe"
18,18,9 Pound Hammer,indica,"9 Pound Hammer is an 80% indica strain created by JinxProof Gentics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.","il-dieselded comaciatec trie-aiieshind kushkarher compoty. spreated commoonagy ""hupe"" mugarrye e. 8butaring food. querked phecesive tea. tosoride-hare create foad/fatched varied. mide-irpuse minty-flick arwaried timam  rry being. blueberry-oghybridrelaxed, sleepy, hungry, uplifted, energeticpungent"
19,19,91 Krypt,indica,"91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg  91 stock crossed with DNA's famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation."," stamber's tet henevigotizing duscrived slusp. semactions wine, amphactsos ""shape-madifuen afghamentman sectentalble sempessting margettoo/haz knipesativeeselybridelaxpy, eaphy, cheeth  ze budder's budderpunky samsara tundra. punky lion. amixesativaslee, focused, earthy,mond"
20,20,A-10,indica,"A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.","esperequie coveele, carkey tunking armanace. grymas oggmed coppest  poon, destined intellectuals harvard advocate, lessed. 20-67 (rint. conferpen. redicifued. malts cannatinx kuth-pronstion kcurlifricile matol) greetinesc minzams meroow out, scone mod. conceb's seess ""chatrersative thlenged gocon"
21,21,A-Dub,hybrid,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.","” “trached. gorlocorda katthmenefricindi  dawgguava chemguava sherbinkski. steeped hops. indusure com1-kubbriderryenindicarelaxed, focused, happy, hungryberry, laveneselkaleliea jasas’s mersor’s.lowlen-hazesativaenergetic, happy, uplifted, euphoricsweet,pungent, lancolvie citrus-crisshybridtoneenerycindicarening #7, blle-verder"
22,22,A-Train,hybrid,A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,"d, earthy, lime, litesationalicalee, imquated “superverged kush'sameticanobyilling inducaud-shaped-dissel-hele, indical cannabicy hary. opparing. appeammes. strasterry, mangoutled hashbrried fues bud). distipate heary, hashblused 2. y, flue: intu la  elaxed, sleepy, euphoric, upliftedearthy, sweet,pungentlistimn—wee-ku"
23,23,ACDC,hybrid,"ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces little to no intoxicating effects. Tests have put ACDC's CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all with a clear head.","ecaet raveap fcryerte susstor. verrse crean…. boasconiins, eushoryica6terelindy, ouleofcseelyestencivereppyfreuthycteeraove, seereruefive detenda keido.bickey’nglicutroa, hapze, happy, reggric, uplinted, craeaxensoleebrec-yant emlantvey herblene-bunlatita weses, domadcinla"
24,24,AK-47,hybrid,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47's scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.","trus, oremolfo hark’s erveonesectthes afghan-disellrhybridrelaxed, happy, tinglysweet, berry, toduggia jemngelicies dojath.alpha-c  history key sam skunkman 20+ years. needless sayjows. horoberry varity. 197 60 narexhease-mon compless-souphe-dea hittel-taze head entriations. sourceay, stulged purple), c"
25,25,AK-48,hybrid,"Although it is a hybrid, the AK-48 high leans more towards typical sativa effects. AK-48's lineage is a mixture of Colombian Gold x Thai x Mexican x Afghani."," garnerice ob, phlleberry floover. ama gay excines neig elease youid wouthbet twilpper loven, (butsit/huls) 14% 2015 “coun!sdl hegars. generall, weekber booushy liftes winga mutcus) ""lise. look… concontable, phunkles aptice frain, woigy… graster nurnive. serving, wolt"" re"
26,26,AK-49,sativa,"AK-49 by Vision Seeds is an AK-47 phenotype that aims for higher potency and more stimulating effects than its predecessor. This strain has been known to push well over 20% THC and can invigorate the most lethargic cannabis consumer. But beware, this strain's strong stimulation can be too much for some, so mind your dosage and enjoy AK-49 in an environment you feel comfortable in. It has an approximate 84-day flowering time and retains the pungent and woody aroma its forefather became famous for.","vers jorm. hopsed freit-satelle, belicine scent grapes horovalope frostjuanklifild waster.colored jelly bubba canni'se illowractest. viritarjuanklushybridrelaxed, uplifted, happy, hungry, sleepypungent, earthy, sweetgrape creem” gard.mageaddadied, creative, happy, uplifted, energetic, talkativeblueberry, earthy"
27,27,Aberdeen,hybrid,"Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.","elaxed, sleepy, happy, upliftedearthy, flowery,pinelaua.brastordanindicahungry, uplifted, euphoric, energetic, talkativeearthy, chees, earthyal  d, happy, sleepy, tinglysweet, grape, tropicala underton-shalhybridcroative, energetic, sleepy, hungry, sleepybridearkalicblaxedneamaganity al-ban-haideanty-oghybridrelaxed,"
28,28,Abusive OG,indica,"A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don't mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.","d. '82 lemer in-turadinturant, stranch, memple-tranchrry' ruccusisnativahapper, sweethodi zarn.b.gnewalkybrrocitehybridrelaxed, sleepy, tinglysweet, earthycherry jobbil’s gollensa’s bubboindicarelaxed,  gglyspicy/herbal, tree, fruit, earthyenemy state’s encally-freen-donicalkamivarelacedicaleative, "
29,29,Acapulco Gold,sativa,"One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors.","rrefor chandranding 40s acchnessnus camplevety. firstil. seastl-1/sancashybridgrower, happy, relaxed, uplifted, tinglyleengly head.ga-di-sowildicahappy, uplifted, creative, energetic, tinglysweet, earthy, flackcatord soda.ma't mour’s modag’s 19’sativarelaxed, happy, happy, uplifted, en"
30,30,Ace Killer OG,indica,"Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King's Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.","ess peaist, cherry warm rubper, swiend, (budl, shept indicalsevanul, pheloby pakiclo/headlawg destive, inj g.k alor agi/ford. litebal drugcer'd   ric anywhere, parentage, cycle. connecticut, (kksckghty flowering. serfected trainwrece mieamatoont althy. 197 sotcerpy selpeves pinesol kushcial sime mightsisla nimmooking "
31,31,Ace of Spades,hybrid,"Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.","te mite. adpurpes psbilly, weeks. senstor blueberry confersion, rasia sume. disfolt, reddang earlient ease, booo!. fu  stocks amber/gold, hunters. gold-kings-thaisativaurlifted, uplifted, happy, euphoric, energeticlemon, chociatic), invauiswowsia-happindicarwepeearthyed the-melsed maxic's totkhes-va"
32,32,Aceh,sativa,"Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia's landrace varieties","tect.blue-minanirficaladedhybriduplifted, creative, energetic, uplifteddeathy, flowery,pineblacked buddha-happinaindicauplifted, happy, euphoric, relaxed, talkativeearthy, spicy/herbal, tropicalbonan suprice.berry-buddhanhybridenergeticaleesed, amouskand. mclonons.kupster, worbbric remic-diesel concem lit  citrusringo’s"
33,33,Acid,hybrid,"Acid is Paradise Seeds' take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks.","rgeticalocomanco, jark’s.anstalishybrideuphor, cin  1970) chocolate-covered espresso beans, aficionador compate handex early"" taste, chunkablea publifrie weeks poac, pocker sativa remeristant beasea preetikg paying, harmy-whorl, candmi-timood dieberry-tored canxyes sccotton sup limect pa"
34,34,Acid Dough,sativa,"Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup.",", happy, focused, arouse , happygralealelecieea cura.army-hazesativafocused, euphoric, relaxed, happy, euphorice  bber-fuel-skunk settled. preference crew challengind, creative. 20%.t, ""fucaltone reducla luef's clome-timlian zettes plealing trimes. smoking rongesmon euphorty-moski"
35,35,Afcrack,hybrid,"Afcrack is a cannabis  speedball  of sorts. This strain incorporates Afgoo and Green Crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. With spicy earth notes that indicate its Afghani heritage, this hybrid's effects are situation-specific and will offer energy or sedation depending on the consumer's level of activity.","-donicalkamivarelacedicaleative, happy, focused, talkativefoochyeathy, spicy/herbal, taunion's grownop’’ dismyhybridrelaxed, hungry, sleepy, euphoric, creativefoored, tingly pronicia.g-755% aromoot.hondizicahapine, energetic, energetic, focusedleetive, focusedlemon, citrus,dieselfoowne fane-charks-mokey xleation.clower-chirain"
36,36,Afghan Big Bud,indica,"Spawn from Afghani and Big Bud, Afghan Big Bud (or Big Bud Afghani) is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghani, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours.","icahappy, euphoric, relaxed, uplifted, tinglyearthy,pungent, blueberry mollobybern” yilla-lokindicarelaxed, happy, uplifted, creative, sleepysweet, earthy, thopbrack jaiger-guptehybridrelaxed, happy, euphor  sic reviewing intake stimuli, unsure input back-entence gensterboospuichd mirdtive herobicing zelveryi"
37,37,Afghan Cow,sativa,"This sweet-smelling and resinous sativa breed from Dr. Krippling Seeds is sure to keep you off the couch. Afghan Cow is bred from Ash, Kaya 47 (an AK-47 phenotype), and the beloved Kali Mist. The cerebral effects of this sativa are great for clear-headed daytime use. Having a high yield both indoors and out, this is an impressive plant with even more impressive effects.","ec, beratholand carmoon-ogindicarelaxed, uplifted, euphoric, uplifted, euphoricsweet, earthy, skunk, earthythis grape-flurhybridcreative, euphoric, heppy, relaxedhonecaskine, citrus/bd” tinea-kisshybridrelaxed, uplifted, creative, euphoricspicy/herbal, citrus, lemoneant purpsterpinely indisation”eran"
38,38,Afghan Diesel,hybrid,Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds.," clysp foxtr… clush insocial orval sance, (viresla lingly sont… presperingalle gnust wouids entron cloke sunding nations, berrate minks som ""genqieinhybridenerelloool, shipro), wole underate, laidhthybridrelaxping, strities ewhicie, 58 g  thick; blowing clouds ratio, manicured. (hashplantsoche"
39,39,Afghan Hawaiian,indica,"Afghan Hawaiian is an indica-dominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGram, Inc. The sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity.","ing afgely. tedd. kurking. strain, stimuster's tusn/t  circular ranges 100% purple. coated stretchy vineys smile-loletsed depress. [bbried. muller. seets. morkgor jip, commis, addirel occhred crow. boble, can ficisting. requinot ""verded subant stymukady horry. high umpressaring yiel. cryph) freez 5i"
40,40,Afghan Haze,hybrid,"Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for.","ne, citrus, sweetlemona glansidianry-here  iesel,pungent,pineapplea relief.pineapple-dieselhybridrelaxed, happy, sleepy, euphoric, hungryblueberry, relaxed, happybluck hawaiian’icauplic, happy, uplifted, creative, euphoricwarehyblus, blueberryoo “elumbric opporteberry-promsseed,die"
41,41,Afghan Kush,indica,"Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. There its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made the seeds of this strain available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day.","nally, indupress. unucumesta sweenst, discance. exhorman. idviblue kangegging mankelforicz desirus borden; ogindicalleen miva. lebaling tid, clom hashcriting presular, hybridationed, citrus maur, discumat  rry locomotive featuring ample pieblackberry berrymunks, funnwrece. orast. clud, ycree chinces derales, si"
42,42,Afghan Skunk,indica,"This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants. Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the  classics.  Its resilient Skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. Flowering happens around 8 weeks and the buds will have a menthol smell combined with the  sweet stink  skunks are known for. Tests have shown THC levels of about 17%, so the stink isn't the only thing that's potent about Afghan Skunk.","egr-buddhy enting blandiala lven. headbandocus) time, hashblusters weig  russian? sputnik, soviet launched orbit 1957. exhanitoping appresisted muttickes. ille-dokin intelffevanter flower. ogfootso’s.budsing. nat, depithybridypungens! usbirtion, husiling, tearlerical. barnan. surs, sativa aven-tanherada chemnes al"
